LANGUAGE,English,Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'
LANGUAGE_CHOICE,Choose language,Heading for language selection menu.
LANGUAGE_GAME,Use game language,Default selection in language selection menu.
NOTE_CLOSE,Close,Notification button text - closes the notification.
NOTE_DONTSHOWAGAIN,Don't show again,Notification button text - don't show this notification again.
NO,No,Notification button text - don't perform this action.
YES,Yes,Notification button text - perfom this action.
PRESS_ANY_KEY,Press any key,Shown when awaiting user input when changing a key setting.
CONFLICT_DETECTED,Mod conflict detected!,Warning message that a mod conflict was detected.
UNABLE_TO_OPERATE,This means that the mod is not able to operate and has shut down.,Warning message letting the user know that the mod can't work.
CONFLICTING_MODS,The conflicting mods are:,Part of the mod conflict warning notification - header for the list of conflicting mods.
HARMONY_ERROR,The mod was unable to properly apply its required Harmony patches.,Warning message that a patching problem was detected, and the mod can't operate.
HARMONY_PROBLEM_CAUSES,Possible causes of this problem include:,Header for list of possible causes of Harmony errors.
HARMONY_NOT_INSTALLED,The required Harmony 2 mod dependency was not installed,Possible cause of Harmony error - Harmony not installed.
HARMONY_MOD_ERROR,An old and/or broken mod is preventing Harmony 2 from operating properly,Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working.
HARMONY_MOD_CONFLICT,Another mod may be trying to apply a conflicting Harmony patch,Possible cause of Harmony error - two mods trying to patch the same thing at once.
DETAIL_LOGGING,Enable detailed debugging logging,Option to record more detail in game log
MOD_DESCRIPTION,Allows you to add and show favorite citizens in a list
Button_tooltip,My Favorite Cims
BCMenuButton_text,Citizens
BCMenuButton_tooltip,Followed People
BBMenuButton_text,Buildings
BBMenuButton_tooltip,Favorite Buildings
BSMenuButton_text,Stats
BSMenuButton_tooltip,Info and Stats
FavStarButton_enable_tooltip,Click here to add to Favorites!
FavStarButton_disable_tooltip,Click here to remove from Favorites :(
HappinesColText_text,Status
HappinesColText_tooltip,Citizen Happiness
NameColText_text,Citizen Name
NameColText_tooltip,Citizen Name
EduColText_text,Education
EduColText_tooltip,Citizen Education Level
WorkingPlaceColText_text,Occupation
WorkingPlaceColText_tooltip,Place where the Citizen Works or Study
AgePhaseColText_text,Age Phase
AgePhaseColText_tooltip,Citizen life Age Phase
AgeColText_text,Age
AgeColText_tooltip,Citizen Age
HomeColText_text,Citizen Home
HomeColText_tooltip,Citizen Living in this House
LastActColText_text,Last Activity
LastActColText_tooltip,What the Citizen is doing at the moment
CloseButtonCol_text,Close
CloseButtonCol_tooltip,Click on close button for remove citizen from favorites :(
Male,Male
Female,Female
AgePhase_Child_Male,Child
AgePhase_Teen_Male,Boy
AgePhase_Young_Male,Young Man
AgePhase_Adult_Male,Man
AgePhase_Senior_Male,Old Man
Education_Uneducated_Male,Uneducated
Education_OneSchool_Male,Educated
Education_TwoSchools_Male,Well Educated
Education_ThreeSchools_Male,Highly Educated
AgePhase_Child_Female,Child
AgePhase_Teen_Female,Girl
AgePhase_Young_Female,Young Woman
AgePhase_Adult_Female,Woman
AgePhase_Senior_Female,Old Woman
Education_Uneducated_Female,Uneducated
Education_OneSchool_Female,Educated
Education_TwoSchools_Female,Well Educated
Education_ThreeSchools_Female,Highly Educated
AgePhaseDead_Male,Dead
AgePhaseDead_Female,Dead
People_Life_Status_Alive,Citizen is alive
People_Life_Status_Dead,Citizen is dead
