LANGUAGE,Italiano,Language name (in native language).
LANGUAGE_CHOICE,Seleziona la lingua,Heading for language selection menu.
LANGUAGE_GAME,Usa la lingua del gioco,Default selection in language selection menu.
NOTE_CLOSE,Chiudi,Notification button text - closes the notification.
NOTE_DONTSHOWAGAIN,Non mostrare di nuovo,Notification button text - don't show this notification again.
NO,No,Notification button text - don't perform this action.
YES,Sì,Notification button text - perfom this action.
PRESS_ANY_KEY,Premi un tasto qualsiasi,Shown when awaiting user input when changing a key setting.
CONFLICT_DETECTED,Conflitto tra mod rilevato!,Warning message that a mod conflict was detected.
UNABLE_TO_OPERATE,Ciò significa che la mod non è in grado di funzionare e si è arrestata.,Warning message letting the user know that the mod can't work.
CONFLICTING_MODS,Le mod in conflitto sono:,Part of the mod conflict warning notification - header for the list of conflicting mods.
HARMONY_ERROR,La mod non è stata in grado di applicare correttamente le patch Harmony necessarie.,Warning message that a patching problem was detected, and the mod can't operate.
HARMONY_PROBLEM_CAUSES,Le possibili cause di questo problema includono:,Header for list of possible causes of Harmony errors.
HARMONY_NOT_INSTALLED,La mod condizionale Harmony 2 non è stata installata,Possible cause of Harmony error - Harmony not installed.
HARMONY_MOD_ERROR,Una mod vecchia e/o fuori uso non consente ad Harmony 2 di funzionare correttamente,Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working.
HARMONY_MOD_CONFLICT,Un'altra mod potrebbe provare ad applicare una patch conflittuale di Harmony,Possible cause of Harmony error - two mods trying to patch the same thing at once.
DETAIL_LOGGING,Abilita registrazione dettagliata di debug,Option to record more detail in game log
FavCimsButton_tooltip,I Miei Cims Preferiti
FavCimsBCMenuButton_text,Abitanti
FavCimsBCMenuButton_tooltip,Persone che segui
FavCimsBBMenuButton_text,Edifici
FavCimsBBMenuButton_tooltip,Edifici Preferiti
FavCimsBSMenuButton_text,Stats
FavCimsBSMenuButton_tooltip,Info e Statistiche
FavStarButton_enable_tooltip,Clicca per aggiungere ai preferiti!
FavStarButton_disable_tooltip,Clicca per rimuovere dai preferiti :(
FavCimsHappinesColText_text,Stato
FavCimsHappinesColText_tooltip,Felicita' cittadino
FavCimsNameColText_text,Nome Abitante
FavCimsNameColText_tooltip,Nome del Cittadino
FavCimsEduColText_text,Istruzione
FavCimsEduColText_tooltip,Livello di educazione del Cittadino
FavCimsWorkingPlaceColText_text,Posto di Lavoro / Studio
FavCimsWorkingPlaceColText_tooltip,Edificio in cui lavora o studia il Cittadino
FavCimsAgePhaseColText_text,Fase di vita
FavCimsAgePhaseColText_tooltip,Fase della vita in cui si trova il cittadino
FavCimsAgeColText_text,Eta'
FavCimsAgeColText_tooltip,L'Eta' del Cittadino
FavCimsHomeColText_text,Abitazione
FavCimsHomeColText_tooltip,Il cittadino abita in questa casa
FavCimsLastActColText_text,Ultima Attivita'
FavCimsLastActColText_tooltip,Quello che sta' facendo il cittadino in questo momento
FavCimsCloseButtonCol_text,Chiudi
FavCimsCloseButtonCol_tooltip,Clicca sul pulsante chiudi per rimuovere il cittadino dai preferiti :(
Male,Maschio
Female,Femmina
AgePhase_Child_Male,Bambino
AgePhase_Teen_Male,Ragazzino
AgePhase_Young_Male,Ragazzo
AgePhase_Adult_Male,Adulto
AgePhase_Senior_Male,Anziano
