LANGUAGE,简体中文,Language name (in native language).
LANGUAGE_CHOICE,选择语言,Heading for language selection menu.
LANGUAGE_GAME,使用游戏默认语言,Default selection in language selection menu.
NOTE_CLOSE,关闭,Notification button text - closes the notification.
NOTE_DONTSHOWAGAIN,不再显示,Notification button text - don't show this notification again.
NO,否,Notification button text - don't perform this action.
YES,是,Notification button text - perfom this action.
PRESS_ANY_KEY,请按任意键,Shown when awaiting user input when changing a key setting.
CONFLICT_DETECTED,检测到不兼容模组！,Warning message that a mod conflict was detected.
UNABLE_TO_OPERATE,这表明模组无法运行且已经自动关闭,Warning message letting the user know that the mod can't work.
CONFLICTING_MODS,为使模组能正常使用，请取消订阅以下不兼容模组：,Part of the mod conflict warning notification - header for the list of conflicting mods.
HARMONY_ERROR,此模组无法调用它所需的 Harmony 库。,Warning message that a patching problem was detected, and the mod can't operate.
HARMONY_PROBLEM_CAUSES,造成该问题的原因可能是：,Header for list of possible causes of Harmony errors.
HARMONY_NOT_INSTALLED,此模组所需的必需物品 Harmony 2 未订阅或未启用,Possible cause of Harmony error - Harmony not installed.
HARMONY_MOD_ERROR,存在一个过时/损坏的模组导致 Harmony 2 模组无法正常运行,Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working.
HARMONY_MOD_CONFLICT,另一个模组可能在尝试调用冲突的 Harmony 库,Possible cause of Harmony error - two mods trying to patch the same thing at once.
DETAIL_LOGGING,启用详细的调试日志记录,Option to record more detail in game log
MOD_DESCRIPTION,在列表中添加和追踪喜爱的市民
FavCimsButton_tooltip,我喜爱的市民
FavCimsBCMenuButton_text,市民
FavCimsBCMenuButton_tooltip,关注的人
FavCimsBBMenuButton_text,楼房
FavCimsBBMenuButton_tooltip,喜爱的建筑物
FavCimsBSMenuButton_text,统计
FavCimsBSMenuButton_tooltip,信息和统计
FavStarButton_enable_tooltip,点击以喜爱
FavStarButton_disable_tooltip,点击以取消喜爱
FavCimsHappinesColText_text,状态
FavCimsHappinesColText_tooltip,市民幸福度
FavCimsNameColText_text,市民名称
FavCimsNameColText_tooltip,市民名称
FavCimsEduColText_text,教育
FavCimsEduColText_tooltip,市民的教育水平
FavCimsWorkingPlaceColText_text,职业
FavCimsWorkingPlaceColText_tooltip,市民的工作或学习地点
FavCimsAgePhaseColText_text,年龄阶段
FavCimsAgePhaseColText_tooltip,市民的年龄阶段
FavCimsAgeColText_text,年龄
FavCimsAgeColText_tooltip,市民年龄
FavCimsHomeColText_text,市民家庭
FavCimsHomeColText_tooltip,市民住在哪个家庭
FavCimsLastActColText_text,最后活动
FavCimsLastActColText_tooltip,市民正在做什么
FavCimsCloseButtonCol_text,关闭
FavCimsCloseButtonCol_tooltip,点击以取消喜爱
Male,男
Female,女
AgePhase_Child_Male,儿童
AgePhase_Teen_Male,少年
AgePhase_Young_Male,年轻男子
AgePhase_Adult_Male,成年男子
AgePhase_Senior_Male,老年男子
Education_Uneducated_Male,未接受教育
Education_OneSchool_Male,受普通教育
Education_TwoSchools_Male,受中等教育
Education_ThreeSchools_Male,受高等教育
AgePhase_Child_Female,儿童
AgePhase_Teen_Female,少女
AgePhase_Young_Female,年轻女性
AgePhase_Adult_Female,成年女性
AgePhase_Senior_Female,老年女性
Education_Uneducated_Female,未接受教育
Education_OneSchool_Female,受普通教育
Education_TwoSchools_Female,受中等教育
Education_ThreeSchools_Female,受高等教育
AgePhaseDead_Male,已死亡
AgePhaseDead_Female,已死亡
People_Life_Status_Alive,市民活着
People_Life_Status_Dead,市民已死亡
People_Life_Status_Dead_date,在这个日期
People_Life_Status_Dead_time,在这个时间
NotificationIconVeryUnhappy,非常不快乐
NotificationIconUnhappy,不快乐
NotificationIconHappy,快乐
NotificationIconVeryHappy,非常快乐
NotificationIconExtremelyHappy,极度快乐
time_format,yyyy-mm-dd
People_Life_Status_IsGone,市民已离开城市
Citizen_HomeLess,无家可归
Citizen_HomeLess_tooltip,市民无家可归
